time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,cloudCover,pressure,ozone
2017-03-30 00:00:00,Clear,clear-day,0,0,51.01,51.01,23.68,0.34,5.45,94,0.08,1021.31,315.32
2017-03-30 01:00:00,Clear,clear-day,0,0,53.59,53.59,24.71,0.32,4.73,103,0.13,1020.3,314.56
2017-03-30 02:00:00,Clear,clear-day,0,0,56.28,56.28,26.08,0.31,3.73,109,0.16,1019.35,312.92
2017-03-30 03:00:00,Clear,clear-day,0,0,58.93,58.93,27.66,0.3,2.54,117,0.18,1018.43,310.83
2017-03-30 04:00:00,Clear,clear-day,0,0,60.95,60.95,29.05,0.3,1.62,119,0.19,1017.71,309.1
2017-03-30 05:00:00,Clear,clear-day,0,0,61.92,61.92,29.89,0.3,1.12,90,0.21,1017.27,308.03
2017-03-30 06:00:00,Clear,clear-day,0,0,61.22,61.22,29.66,0.3,1.63,49,0.22,1017.06,307.33
2017-03-30 07:00:00,Partly Cloudy,partly-cloudy-day,0,0,59.65,59.65,29.18,0.31,2.7,45,0.27,1017.15,306.86
2017-03-30 08:00:00,Partly Cloudy,partly-cloudy-night,0,0,57.04,57.04,28.59,0.33,4.2,56,0.37,1017.67,306.76
2017-03-30 09:00:00,Partly Cloudy,partly-cloudy-night,0,0,53.84,53.84,27.83,0.36,6.17,65,0.51,1018.49,306.89
2017-03-30 10:00:00,Mostly Cloudy,partly-cloudy-night,0,0,50.96,50.96,26.93,0.39,7.71,69,0.61,1019.32,306.77
2017-03-30 11:00:00,Mostly Cloudy,partly-cloudy-night,0,0,48.89,45.29,26.06,0.41,8.3,67,0.62,1020.01,306.2
2017-03-30 12:00:00,Partly Cloudy,partly-cloudy-night,0,0,47.37,43.41,25.33,0.42,8.37,65,0.59,1020.63,305.36
2017-03-30 13:00:00,Partly Cloudy,partly-cloudy-night,0,0,46.15,41.97,24.87,0.43,8.26,65,0.58,1021.13,304.37
2017-03-30 14:00:00,Mostly Cloudy,partly-cloudy-night,0,0,44.93,40.51,24.64,0.45,8.18,74,0.61,1021.47,302.9
2017-03-30 15:00:00,Mostly Cloudy,partly-cloudy-night,0,0,43.68,38.95,24.41,0.46,8.26,86,0.66,1021.71,301.27
2017-03-30 16:00:00,Mostly Cloudy,partly-cloudy-night,0,0,42.51,37.54,24.03,0.48,8.23,94,0.7,1021.98,300.54
2017-03-30 17:00:00,Mostly Cloudy,partly-cloudy-night,0,0,41.25,36.4,23.27,0.48,7.45,98,0.73,1022.35,301.01
2017-03-30 18:00:00,Mostly Cloudy,partly-cloudy-night,0,0,40.1,35.72,22.39,0.49,6.24,99,0.74,1022.76,302.39
2017-03-30 19:00:00,Mostly Cloudy,partly-cloudy-night,0,0,39.8,35.99,22.01,0.49,5.33,99,0.78,1023.1,304.87
2017-03-30 20:00:00,Mostly Cloudy,partly-cloudy-day,0,0,41.59,38.31,23.22,0.48,5.05,97,0.83,1023.4,309.68
2017-03-30 21:00:00,Mostly Cloudy,partly-cloudy-day,0,0,44.17,41.31,24.79,0.46,5.08,93,0.9,1023.62,315.58
2017-03-30 22:00:00,Overcast,cloudy,0,0,46.62,44.14,25.92,0.44,5.17,89,0.96,1023.67,319.09
2017-03-30 23:00:00,Overcast,cloudy,0,0,48.74,46.62,26.36,0.41,5.19,84,0.98,1023.42,317.95
